Name,Street,District,Region,Status,Working hour,Price range,Rate Average,Review count,Rate Quality,Rate Price,Rate Location,Rate Service,Rate Space,Category
Cháo Sườn Ngọc Bích - Nguyễn Hồng Đào,"91/14 Nguyễn Hồng Đào, P. 14",Quận Tân Bình,TP. HCM,,06:00 - 20:00,20.000đ - 30.000đ,6.2,4,6.8,6.3,6.3,6.3,5.5,Đồ ăn
Cơm Chiên & Nui Xào Bò - Cống Quỳnh,102/12 Cống Quỳnh,Quận 1,TP. HCM,,00:01 - 02:30 | 14:00 - 23:59,15.000đ - 33.000đ,6.3,18,6.8,6.5,6.3,5.9,5.8,Đồ ăn
Thành Đạt - Hủ Tiếu Nam Vang - Lý Thái Tổ,"16 Lý Thái Tổ, P. 2",Quận 3,TP. HCM,,00:01 - 23:59,49.000đ - 55.000đ,5.7,19,6.1,5.9,5.9,5.4,5.3,Đồ ăn
"Big Burger - Hamburger, Beefsteak & Bakery - Trần Hưng Đạo",131 Trần Hưng Đạo,Quận 5,TP. HCM,,07:00 - 23:00,10.000đ - 110.000đ,7.0,43,7.3,7.2,7.1,7.0,6.6,Đồ ăn
Anna - Bánh Mì Thổ Nhĩ Kỳ - Hậu Giang,"888 Hậu Giang, P. 12",Quận 6,TP. HCM,Đang mở cửa,00:01 - 23:59,18.000đ - 30.000đ,6.7,2,7.5,7.0,6.5,6.5,6.0,Đồ ăn
Cháo Ếch Singapore - Hạ Vũ,"355 Nguyễn Thị Nhỏ, P. 16",Quận 11,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 130.000đ,10.0,1,10.0,10.0,10.0,10.0,10.0,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Xô Viết Nghệ Tĩnh","551 Xô Viết Nghệ Tĩnh, P. 26",Quận Bình Thạnh,TP. HCM,,10:00 - 22:00,20.000đ - 35.000đ,7.4,64,7.8,7.6,7.4,7.3,7.2,Đồ ăn
Mến - Bún Chả Cá Sứa Nha Trang - Lê Văn Quới,"132 Lê Văn Quới, P. Bình Hưng Hòa A",Quận Bình Tân,TP. HCM,,06:00 - 23:59,20.000đ - 30.000đ,7.5,4,8.3,7.5,7.3,7.3,7.0,Đồ ăn
"3 Râu - Gà Rán, Pizza & Trà Sữa - Âu Cơ","496 Âu Cơ, P. 10",Quận Tân Bình,TP. HCM,Đang mở cửa,00:01 - 02:00 | 09:00 - 23:59,12.000đ - 120.000đ,9.1,9,9.3,9.3,9.2,9.2,8.4,Đồ ăn
Phở Hà - Hải Triều - Since 1990,"19 Hải Triều, P. Bến Nghé",Quận 1,TP. HCM,Đang mở cửa,00:01 - 23:59,45.000đ - 60.000đ,4.5,10,5.4,4.9,4.2,4.2,4.0,Đồ ăn
